impl,elements,procs,threads,median_ms,scatter_ms,localsort_ms,pivots_ms,exchange_ms,merge_ms,gather_ms,checksum,device,local_ws,run,command
mpi+ocl,4000000,2,1,155.001,1.229,141.738,0.021,4.246,6.749,1.018,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,2,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi_ocl --n 4000000 --runs 1
mpi+ocl,4000000,2,1,141.542,1.553,129.585,0.016,3.174,6.232,0.982,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,3,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi_ocl --n 4000000 --runs 1
mpi+ocl,4000000,4,1,109.006,1.466,97.623,0.018,2.494,6.345,1.060,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,1,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi_ocl --n 4000000 --runs 1
mpi+ocl,4000000,4,1,108.181,1.552,98.203,0.019,2.183,5.207,1.016,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,2,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi_ocl --n 4000000 --runs 1
mpi+ocl,4000000,4,1,106.784,1.381,97.664,0.016,2.016,4.709,0.997,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,3,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi_ocl --n 4000000 --runs 1
mpi+ocl,4000000,8,1,95.132,1.758,85.480,0.085,2.029,4.239,1.543,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,1,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi_ocl --n 4000000 --runs 1
mpi+ocl,4000000,8,1,94.665,1.518,85.969,0.071,1.994,3.851,1.261,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,2,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi_ocl --n 4000000 --runs 1
mpi+ocl,4000000,8,1,99.696,1.665,90.451,0.087,2.408,3.782,1.303,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,3,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi_ocl --n 4000000 --runs 1
mpi+ocl,4000000,16,1,101.093,2.483,87.892,0.340,3.715,2.664,3.999,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,1,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi_ocl --n 4000000 --runs 1
mpi+ocl,4000000,16,1,87.449,2.192,78.343,0.299,2.596,2.555,1.464,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,2,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi_ocl --n 4000000 --runs 1
mpi+ocl,4000000,16,1,97.045,3.587,86.188,0.413,2.824,2.681,1.353,8587847744702102,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,3,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi_ocl --n 4000000 --runs 1
seq,16000000,1,1,825.121,,,,,,,34356021073035639,cpu native,,1,./quicksort_sequential --n 16000000 --runs 1
seq,16000000,1,1,820.896,,,,,,,34356021073035639,cpu native,,2,./quicksort_sequential --n 16000000 --runs 1
seq,16000000,1,1,822.885,,,,,,,34356021073035639,cpu native,,3,./quicksort_sequential --n 16000000 --runs 1
omp,16000000,1,8,169.855,,,,,,,34356021073035639,cpu native,,1,./quicksort_parallel_openmp  --n 16000000 --threads 8 --runs 1
threads,16000000,1,8,517.760,,,,,,,34356021073035639,cpu native,,1,./quicksort_parallel_threads --n 16000000 --threads 8 --runs 1
omp,16000000,1,8,182.963,,,,,,,34356021073035639,cpu native,,2,./quicksort_parallel_openmp  --n 16000000 --threads 8 --runs 1
threads,16000000,1,8,513.476,,,,,,,34356021073035639,cpu native,,2,./quicksort_parallel_threads --n 16000000 --threads 8 --runs 1
omp,16000000,1,8,166.817,,,,,,,34356021073035639,cpu native,,3,./quicksort_parallel_openmp  --n 16000000 --threads 8 --runs 1
threads,16000000,1,8,527.918,,,,,,,34356021073035639,cpu native,,3,./quicksort_parallel_threads --n 16000000 --threads 8 --runs 1
omp,16000000,1,16,132.964,,,,,,,34356021073035639,cpu native,,1,./quicksort_parallel_openmp  --n 16000000 --threads 16 --runs 1
threads,16000000,1,16,456.093,,,,,,,34356021073035639,cpu native,,1,./quicksort_parallel_threads --n 16000000 --threads 16 --runs 1
omp,16000000,1,16,128.794,,,,,,,34356021073035639,cpu native,,2,./quicksort_parallel_openmp  --n 16000000 --threads 16 --runs 1
threads,16000000,1,16,462.980,,,,,,,34356021073035639,cpu native,,2,./quicksort_parallel_threads --n 16000000 --threads 16 --runs 1
omp,16000000,1,16,131.600,,,,,,,34356021073035639,cpu native,,3,./quicksort_parallel_openmp  --n 16000000 --threads 16 --runs 1
threads,16000000,1,16,458.026,,,,,,,34356021073035639,cpu native,,3,./quicksort_parallel_threads --n 16000000 --threads 16 --runs 1
omp,16000000,1,32,132.488,,,,,,,34356021073035639,cpu native,,1,./quicksort_parallel_openmp  --n 16000000 --threads 32 --runs 1
threads,16000000,1,32,424.293,,,,,,,34356021073035639,cpu native,,1,./quicksort_parallel_threads --n 16000000 --threads 32 --runs 1
omp,16000000,1,32,137.326,,,,,,,34356021073035639,cpu native,,2,./quicksort_parallel_openmp  --n 16000000 --threads 32 --runs 1
threads,16000000,1,32,429.894,,,,,,,34356021073035639,cpu native,,2,./quicksort_parallel_threads --n 16000000 --threads 32 --runs 1
omp,16000000,1,32,137.127,,,,,,,34356021073035639,cpu native,,3,./quicksort_parallel_openmp  --n 16000000 --threads 32 --runs 1
threads,16000000,1,32,424.395,,,,,,,34356021073035639,cpu native,,3,./quicksort_parallel_threads --n 16000000 --threads 32 --runs 1
mpi,16000000,1,1,858.607,2.742,826.549,0.001,26.667,0.000,2.649,34356021073035639,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,1,1,856.931,3.208,824.695,0.000,26.333,0.000,2.695,34356021073035639,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,1,1,848.895,3.151,823.705,0.000,19.075,0.000,2.963,34356021073035639,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,2,1,449.635,4.433,401.853,0.012,12.891,26.617,3.829,34356021073035639,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,2,1,446.253,4.589,399.508,0.011,12.211,26.321,3.613,34356021073035639,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,2,1,448.051,3.865,400.419,0.014,12.761,26.957,4.035,34356021073035639,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,4,1,231.924,5.806,191.655,0.017,7.764,22.314,4.368,34356021073035639,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,4,1,245.965,4.706,203.803,0.024,9.824,23.547,4.061,34356021073035639,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,4,1,245.807,7.163,199.861,0.023,9.597,24.923,4.240,34356021073035639,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,8,1,139.616,5.595,102.529,0.064,10.560,16.426,4.441,34356021073035639,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,8,1,130.022,5.501,97.604,0.213,7.043,15.238,4.423,34356021073035639,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,8,1,126.229,6.038,95.101,0.051,6.210,14.201,4.628,34356021073035639,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,16,1,86.256,6.369,55.585,0.281,6.708,11.153,6.160,34356021073035639,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,16,1,91.082,6.619,54.421,0.293,7.674,12.721,9.354,34356021073035639,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi --n 16000000 --runs 1
mpi,16000000,16,1,92.289,7.325,55.292,0.181,9.271,11.257,8.963,34356021073035639,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi --n 16000000 --runs 1
mpi+ocl,16000000,1,1,545.121,2.707,521.885,0.000,17.793,0.000,2.735,34356021073035639,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,1,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi_ocl --n 16000000 --runs 1
mpi+ocl,16000000,1,1,484.484,2.764,461.781,0.000,17.243,0.000,2.696,34356021073035639,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,2,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi_ocl --n 16000000 --runs 1
