version,N,procs,threads,generate_us,distribute_us,compute_us,gather_us,seconds,checksum,verify,run,command
mpi+omp,500,16,1,8598,3404,6584,286,0.010275,305642569841,ok,2,"mpirun -np 16 ./matrix_mpi_omp 500 1"
mpi+omp,500,16,1,6841,3359,7226,431,0.011017,305642569841,ok,3,"mpirun -np 16 ./matrix_mpi_omp 500 1"
mpi+omp,500,16,2,6953,4403,7809,303,0.012517,305642569841,ok,1,"mpirun -np 16 ./matrix_mpi_omp 500 2"
mpi+omp,500,16,2,5758,4175,8504,288,0.012968,305642569841,ok,2,"mpirun -np 16 ./matrix_mpi_omp 500 2"
mpi+omp,500,16,2,5608,3963,11176,257,0.015397,305642569841,ok,3,"mpirun -np 16 ./matrix_mpi_omp 500 2"
mpi+omp,500,16,4,6246,7080,38106,210,0.045398,305642569841,ok,1,"mpirun -np 16 ./matrix_mpi_omp 500 4"
mpi+omp,500,16,4,6649,2673,38446,304,0.041425,305642569841,ok,2,"mpirun -np 16 ./matrix_mpi_omp 500 4"
mpi+omp,500,16,4,6757,3717,32028,393,0.036139,305642569841,ok,3,"mpirun -np 16 ./matrix_mpi_omp 500 4"
mpi+omp,500,16,8,8667,4679,58791,2945,0.066416,305642569841,ok,1,"mpirun -np 16 ./matrix_mpi_omp 500 8"
mpi+omp,500,16,8,7532,3969,60714,428,0.065113,305642569841,ok,2,"mpirun -np 16 ./matrix_mpi_omp 500 8"
mpi+omp,500,16,8,6421,3452,58293,284,0.062031,305642569841,ok,3,"mpirun -np 16 ./matrix_mpi_omp 500 8"
mpi+ocl,500,1,32,5889,318,5598,124,0.006041,305642569841,ok,1,"mpirun -np 1 ./matrix_mpi_ocl 500"
mpi+ocl,500,1,32,6015,363,4833,102,0.005299,305642569841,ok,2,"mpirun -np 1 ./matrix_mpi_ocl 500"
mpi+ocl,500,1,32,5829,362,5394,100,0.005858,305642569841,ok,3,"mpirun -np 1 ./matrix_mpi_ocl 500"
mpi+ocl,500,2,32,6219,1022,105054,890,0.106968,305642569841,ok,1,"mpirun -np 2 ./matrix_mpi_ocl 500"
mpi+ocl,500,2,32,5993,853,5160,421,0.006436,305642569841,ok,2,"mpirun -np 2 ./matrix_mpi_ocl 500"
mpi+ocl,500,2,32,6663,1150,4499,345,0.005996,305642569841,ok,3,"mpirun -np 2 ./matrix_mpi_ocl 500"
mpi+ocl,500,4,32,6326,1458,106762,512,0.108734,305642569841,ok,1,"mpirun -np 4 ./matrix_mpi_ocl 500"
mpi+ocl,500,4,32,5840,1050,5117,482,0.006649,305642569841,ok,2,"mpirun -np 4 ./matrix_mpi_ocl 500"
mpi+ocl,500,4,32,5698,1410,5404,385,0.007201,305642569841,ok,3,"mpirun -np 4 ./matrix_mpi_ocl 500"
mpi+ocl,500,8,32,6933,4840,94394,349,0.099584,305642569841,ok,1,"mpirun -np 8 ./matrix_mpi_ocl 500"
mpi+ocl,500,8,32,5537,2539,4814,196,0.007551,305642569841,ok,2,"mpirun -np 8 ./matrix_mpi_ocl 500"
mpi+ocl,500,8,32,5602,2125,4660,196,0.006983,305642569841,ok,3,"mpirun -np 8 ./matrix_mpi_ocl 500"
mpi+ocl,500,16,32,9536,5313,202055,469,0.207839,305642569841,ok,1,"mpirun -np 16 ./matrix_mpi_ocl 500"
mpi+ocl,500,16,32,8981,6934,6325,255,0.013516,305642569841,ok,2,"mpirun -np 16 ./matrix_mpi_ocl 500"
mpi+ocl,500,16,32,8111,4355,11194,298,0.015848,305642569841,ok,3,"mpirun -np 16 ./matrix_mpi_ocl 500"
sequential,1000,1,1,,,,,0.422573,2441566030372,checksum-only,1,"./matrix_seq 1000"
sequential,1000,1,1,,,,,0.455316,2441566030372,checksum-only,2,"./matrix_seq 1000"
sequential,1000,1,1,,,,,0.535580,2441566030372,checksum-only,3,"./matrix_seq 1000"
openmp,1000,1,1,,,,,0.413421,2441566030372,checksum-only,1,"./matrix_omp 1000 1"
