experiment,workload,rows,impl,procs,reducers,partition,combiner,keys,shuffle_entries,remote_entries,entry_imbalance,time_imbalance,map_ms,plan_ms,shuffle_ms,reduce_ms,gather_ms,total_ms,checksum,run,command
scaling,small,2016000,mr,8,8,weighted,on,168000,169806,1806,1.0129,1.1729,8.373,0.912,1.095,0.707,0.084,11.171,11533792086335220532,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,small,2016000,mr,8,8,weighted,on,168000,169806,1806,1.0129,1.4368,8.867,1.217,0.970,0.625,0.049,11.727,11533792086335220532,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 8 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,small,2016000,mr,16,16,weighted,on,168000,171668,5560,1.0327,1.1861,9.031,0.884,0.771,0.422,0.075,11.183,11533792086335220532,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,small,2016000,mr,16,16,weighted,on,168000,171668,5560,1.0327,1.1903,9.836,1.204,0.625,0.334,0.075,12.074,11533792086335220532,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,small,2016000,mr,16,16,weighted,on,168000,171668,5560,1.0327,1.2824,10.633,0.901,0.773,0.422,0.106,12.836,11533792086335220532,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_small.csv --partition weighted --print-hours 0 --verify --csv"
scaling,medium,20160000,m2t3d-seq,1,0,none,,,,,,,,,,,,377.273,4461579235480396692,1,"./traffic_sim seq --in ../m2t3d/data/traffic_medium.csv --print-hours 0 --csv"
scaling,medium,20160000,m2t3d-par,16,16,local,,,,,,,,,,,,77.0109,4461579235480396692,1,"./traffic_sim par --in ../m2t3d/data/traffic_medium.csv --producers 16 --consumers 16 --print-hours 0 --csv"
scaling,medium,20160000,m2t3d-seq,1,0,none,,,,,,,,,,,,368.943,4461579235480396692,2,"./traffic_sim seq --in ../m2t3d/data/traffic_medium.csv --print-hours 0 --csv"
scaling,medium,20160000,m2t3d-par,16,16,local,,,,,,,,,,,,69.4615,4461579235480396692,2,"./traffic_sim par --in ../m2t3d/data/traffic_medium.csv --producers 16 --consumers 16 --print-hours 0 --csv"
scaling,medium,20160000,m2t3d-seq,1,0,none,,,,,,,,,,,,367.4,4461579235480396692,3,"./traffic_sim seq --in ../m2t3d/data/traffic_medium.csv --print-hours 0 --csv"
scaling,medium,20160000,m2t3d-par,16,16,local,,,,,,,,,,,,72.4644,4461579235480396692,3,"./traffic_sim par --in ../m2t3d/data/traffic_medium.csv --producers 16 --consumers 16 --print-hours 0 --csv"
scaling,medium,20160000,mr,1,1,weighted,on,1680000,1680000,0,1.0000,1.0000,332.383,2.382,13.710,32.593,0.164,381.233,4461579235480396692,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition weighted --print-hours 0 --verify --csv"
scaling,medium,20160000,mr,1,1,weighted,on,1680000,1680000,0,1.0000,1.0000,335.001,2.354,15.367,33.807,0.174,386.703,4461579235480396692,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./traffic_mr --in ../m2t3d/data/traffic_medium.csv --partition weighted --print-hours 0 --verify --csv"
